episode,reward,epsilon,mode
49500,-26.95,0.37906419794356266,easy
49600,-34.25,0.3783068196046669,easy
49700,-33.96,0.37755095452381937,easy
49800,-27.76,0.37679659967749785,easy
49900,-28.5,0.37604375204822194,easy
50000,-20.87,0.37529240862453966,easy
50100,-32.03,0.37454256640101613,easy
50200,-36.97,0.37379422237822163,easy
50300,-28.62,0.3730473735627189,easy
50400,-32.1,0.37230201696705195,easy
50500,-37.67,0.37155814960973427,easy
50600,-27.16,0.3708157685152356,easy
50700,-27.26,0.3700748707139713,easy
50800,-32.05,0.3693354532422904,easy
50900,-31.31,0.3685975131424617,easy
51000,-26.58,0.3678610474626654,easy
51100,-36.35,0.3671260532569791,easy
51200,-38.04,0.36639252758536583,easy
51300,-20.67,0.3656604675136634,easy
51400,-25.78,0.36492987011357203,easy
51500,-28.07,0.3642007324626427,easy
51600,-31.41,0.36347305164426513,easy
51700,-35.61,0.3627468247476575,easy
51800,-32.26,0.36202204886785266,easy
51900,-39.63,0.3612987211056882,easy
52000,-29.76,0.36057683856779454,easy
52100,-34.69,0.3598563983665826,easy
52200,-29.72,0.35913739762023256,easy
52300,-22.77,0.35841983345268347,easy
52400,-38.42,0.35770370299362053,easy
52500,-26.81,0.3569890033784632,easy
52600,-30.7,0.3562757317483551,easy
52700,-20.47,0.3555638852501516,easy
52800,-28.97,0.3548534610364088,easy
52900,-33.64,0.3541444562653722,easy
53000,-28.22,0.3534368681009652,easy
53100,-27.22,0.3527306937127769,easy
53200,-29.89,0.3520259302760532,easy
53300,-26.5,0.3513225749716825,easy
53400,-30.95,0.35062062498618674,easy
53500,-35.73,0.34992007751170817,easy
53600,-29.13,0.3492209297460004,easy
53700,-24.34,0.34852317889241546,easy
53800,-34.48,0.34782682215989286,easy
53900,-32.85,0.3471318567629495,easy
54000,-29.0,0.3464382799216673,easy
54100,-26.61,0.3457460888616823,easy
54200,-34.36,0.34505528081417364,easy
54300,-31.27,0.3443658530158536,easy
54400,-39.38,0.3436778027089546,easy
54500,-29.25,0.3429911271412195,easy
54600,-33.03,0.3423058235658896,easy
54700,-29.94,0.3416218892416958,easy
54800,-39.97,0.3409393214328445,easy
54900,-34.96,0.3402581174090092,easy
55000,-35.22,0.3395782744453185,easy
55100,-32.79,0.33889978982234525,easy
55200,-32.63,0.33822266082609526,easy
55300,-37.32,0.33754688474799815,easy
55400,-31.24,0.3368724588848943,easy
55500,-34.23,0.3361993805390254,easy
55600,-26.22,0.33552764701802346,easy
55700,-27.93,0.33485725563489976,easy
55800,-35.82,0.3341882037080341,easy
55900,-31.94,0.3335204885611646,easy
56000,-30.49,0.3328541075233759,easy
56100,-24.04,0.3321890579290904,easy
56200,-36.29,0.33152533711805515,easy
56300,-36.71,0.3308629424353325,easy
56400,-34.77,0.33020187123129036,easy
56500,-29.54,0.32954212086159,easy
56600,-21.59,0.32888368868717643,easy
56700,-32.12,0.3282265720742674,easy
56800,-31.39,0.32757076839434307,easy
56900,-36.76,0.3269162750241351,easy
57000,-28.21,0.32626308934561676,easy
57100,-34.99,0.32561120874599253,easy
57200,-37.34,0.3249606306176866,easy
57300,-21.02,0.3243113523583339,easy
57400,-34.17,0.3236633713707684,easy
57500,-30.84,0.32301668506301356,easy
57600,-33.72,0.32237129084827165,easy
57700,-34.46,0.3217271861449129,easy
57800,-27.06,0.3210843683764665,easy
57900,-32.11,0.3204428349716088,easy
