WORD       | FINAL    | ENTROPY  | PROB MASS
force      | 5.9026   | 5.0571   | 0.8455
grain      | 5.9017   | 5.1235   | 0.7782
prime      | 5.9012   | 5.0775   | 0.8237
tilde      | 5.9010   | 5.2741   | 0.6269
unite      | 5.9008   | 5.1736   | 0.7272
labor      | 5.8993   | 5.0760   | 0.8233
state      | 5.8988   | 5.0100   | 0.8888
utile      | 5.8984   | 5.2808   | 0.6176
treat      | 5.8972   | 5.0959   | 0.8013
shame      | 5.8972   | 5.1348   | 0.7624
blade      | 5.8968   | 5.1142   | 0.7826
spent      | 5.8968   | 5.0812   | 0.8156
swear      | 5.8965   | 5.1665   | 0.7300
blast      | 5.8962   | 5.1213   | 0.7749
remit      | 5.8958   | 5.2116   | 0.6842
frame      | 5.8941   | 5.0646   | 0.8295
lunar      | 5.8900   | 5.1533   | 0.7367
pulse      | 5.8878   | 5.0875   | 0.8003
grail      | 5.8866   | 5.2020   | 0.6846
rainy      | 5.8863   | 5.1659   | 0.7204
crash      | 5.8852   | 5.0923   | 0.7929
maple      | 5.8841   | 5.1079   | 0.7762
point      | 5.8832   | 5.0165   | 0.8667
scent      | 5.8815   | 5.1489   | 0.7326
plain      | 5.8813   | 5.0732   | 0.8081
surge      | 5.8813   | 5.1277   | 0.7536
spice      | 5.8802   | 5.1159   | 0.7643
drake      | 5.8790   | 5.1343   | 0.7447
dream      | 5.8790   | 5.0595   | 0.8195
strap      | 5.8785   | 5.0963   | 0.7822
manor      | 5.8785   | 5.1144   | 0.7641
story      | 5.8771   | 5.0165   | 0.8606
ultra      | 5.8768   | 5.0716   | 0.8052
tower      | 5.8762   | 5.0728   | 0.8034
opera      | 5.8752   | 5.0762   | 0.7990
beard      | 5.8739   | 5.1428   | 0.7311
leach      | 5.8724   | 5.1738   | 0.6986
reset      | 5.8705   | 5.0931   | 0.7774
steam      | 5.8701   | 5.0888   | 0.7813
baste      | 5.8688   | 5.3092   | 0.5596
nicer      | 5.8682   | 5.1790   | 0.6892
feral      | 5.8676   | 5.1935   | 0.6741
eater      | 5.8661   | 5.1623   | 0.7038
valet      | 5.8661   | 5.1539   | 0.7122
